Date,Centre_Name,Commodity_Name,Price
18-11-2011,VIJAYWADA,Potato,12.0
21-11-2011,VIJAYWADA,Potato,12.0
22-11-2011,VIJAYWADA,Potato,12.0
23-11-2011,VIJAYWADA,Potato,12.0
24-11-2011,VIJAYWADA,Potato,12.0
25-11-2011,VIJAYWADA,Potato,12.0
28-11-2011,VIJAYWADA,Potato,12.0
29-11-2011,VIJAYWADA,Potato,12.0
30-11-2011,VIJAYWADA,Potato,12.0
01-12-2011,VIJAYWADA,Potato,12.0
02-12-2011,VIJAYWADA,Potato,12.0
05-12-2011,VIJAYWADA,Potato,12.0
07-12-2011,VIJAYWADA,Potato,12.0
08-12-2011,VIJAYWADA,Potato,12.0
09-12-2011,VIJAYWADA,Potato,12.0
12-12-2011,VIJAYWADA,Potato,12.0
13-12-2011,VIJAYWADA,Potato,12.0
14-12-2011,VIJAYWADA,Potato,12.0
15-12-2011,VIJAYWADA,Potato,12.0
16-12-2011,VIJAYWADA,Potato,12.0
19-12-2011,VIJAYWADA,Potato,12.0
20-12-2011,VIJAYWADA,Potato,12.0
21-12-2011,VIJAYWADA,Potato,12.0
22-12-2011,VIJAYWADA,Potato,12.0
23-12-2011,VIJAYWADA,Potato,12.0
26-12-2011,VIJAYWADA,Potato,12.0
27-12-2011,VIJAYWADA,Potato,11.0
28-12-2011,VIJAYWADA,Potato,11.0
29-12-2011,VIJAYWADA,Potato,12.0
30-12-2011,VIJAYWADA,Potato,12.0
02-01-2012,VIJAYWADA,Potato,12.0
03-01-2012,VIJAYWADA,Potato,12.0
04-01-2012,VIJAYWADA,Potato,12.0
05-01-2012,VIJAYWADA,Potato,12.0
06-01-2012,VIJAYWADA,Potato,12.0
09-01-2012,VIJAYWADA,Potato,12.0
10-01-2012,VIJAYWADA,Potato,12.0
11-01-2012,VIJAYWADA,Potato,12.0
12-01-2012,VIJAYWADA,Potato,12.0
13-01-2012,VIJAYWADA,Potato,12.0
16-01-2012,VIJAYWADA,Potato,12.0
17-01-2012,VIJAYWADA,Potato,11.0
18-01-2012,VIJAYWADA,Potato,11.0
19-01-2012,VIJAYWADA,Potato,11.0
20-01-2012,VIJAYWADA,Potato,11.0
23-01-2012,VIJAYWADA,Potato,11.0
24-01-2012,VIJAYWADA,Potato,12.0
25-01-2012,VIJAYWADA,Potato,12.0
27-01-2012,VIJAYWADA,Potato,11.0
30-01-2012,VIJAYWADA,Potato,11.0
31-01-2012,VIJAYWADA,Potato,11.0
01-02-2012,VIJAYWADA,Potato,11.0
02-02-2012,VIJAYWADA,Potato,11.0
03-02-2012,VIJAYWADA,Potato,11.0
06-02-2012,VIJAYWADA,Potato,11.0
07-02-2012,VIJAYWADA,Potato,12.0
08-02-2012,VIJAYWADA,Potato,12.0
09-02-2012,VIJAYWADA,Potato,12.0
10-02-2012,VIJAYWADA,Potato,12.0
13-02-2012,VIJAYWADA,Potato,11.0
14-02-2012,VIJAYWADA,Potato,12.0
15-02-2012,VIJAYWADA,Potato,11.0
16-02-2012,VIJAYWADA,Potato,11.0
17-02-2012,VIJAYWADA,Potato,11.0
21-02-2012,VIJAYWADA,Potato,12.0
22-02-2012,VIJAYWADA,Potato,12.0
23-02-2012,VIJAYWADA,Potato,12.0
24-02-2012,VIJAYWADA,Potato,12.0
27-02-2012,VIJAYWADA,Potato,12.0
28-02-2012,VIJAYWADA,Potato,12.0
29-02-2012,VIJAYWADA,Potato,12.0
01-03-2012,VIJAYWADA,Potato,12.0
02-03-2012,VIJAYWADA,Potato,11.0
05-03-2012,VIJAYWADA,Potato,11.0
06-03-2012,VIJAYWADA,Potato,12.0
07-03-2012,VIJAYWADA,Potato,12.0
09-03-2012,VIJAYWADA,Potato,12.0
12-03-2012,VIJAYWADA,Potato,13.0
13-03-2012,VIJAYWADA,Potato,13.0
14-03-2012,VIJAYWADA,Potato,14.0
15-03-2012,VIJAYWADA,Potato,14.0
16-03-2012,VIJAYWADA,Potato,14.0
19-03-2012,VIJAYWADA,Potato,14.0
20-03-2012,VIJAYWADA,Potato,13.0
21-03-2012,VIJAYWADA,Potato,13.0
22-03-2012,VIJAYWADA,Potato,13.0
23-03-2012,VIJAYWADA,Potato,17.649063032367973
26-03-2012,VIJAYWADA,Potato,13.0
27-03-2012,VIJAYWADA,Potato,13.0
28-03-2012,VIJAYWADA,Potato,14.0
29-03-2012,VIJAYWADA,Potato,14.0
30-03-2012,VIJAYWADA,Potato,14.0
02-04-2012,VIJAYWADA,Potato,14.0
03-04-2012,VIJAYWADA,Potato,15.0
04-04-2012,VIJAYWADA,Potato,15.0
09-04-2012,VIJAYWADA,Potato,16.0
10-04-2012,VIJAYWADA,Potato,16.0
11-04-2012,VIJAYWADA,Potato,16.0
12-04-2012,VIJAYWADA,Potato,16.0
13-04-2012,VIJAYWADA,Potato,16.0
16-04-2012,VIJAYWADA,Potato,16.0
17-04-2012,VIJAYWADA,Potato,16.0
18-04-2012,VIJAYWADA,Potato,16.0
19-04-2012,VIJAYWADA,Potato,16.0
20-04-2012,VIJAYWADA,Potato,16.0
23-04-2012,VIJAYWADA,Potato,16.0
24-04-2012,VIJAYWADA,Potato,16.0
25-04-2012,VIJAYWADA,Potato,16.0
26-04-2012,VIJAYWADA,Potato,16.0
27-04-2012,VIJAYWADA,Potato,17.0
30-04-2012,VIJAYWADA,Potato,17.0
01-05-2012,VIJAYWADA,Potato,17.0
02-05-2012,VIJAYWADA,Potato,17.0
03-05-2012,VIJAYWADA,Potato,17.0
04-05-2012,VIJAYWADA,Potato,17.0
07-05-2012,VIJAYWADA,Potato,17.0
08-05-2012,VIJAYWADA,Potato,17.0
09-05-2012,VIJAYWADA,Potato,17.0
10-05-2012,VIJAYWADA,Potato,17.0
11-05-2012,VIJAYWADA,Potato,17.0
14-05-2012,VIJAYWADA,Potato,17.0
15-05-2012,VIJAYWADA,Potato,18.0
16-05-2012,VIJAYWADA,Potato,18.0
17-05-2012,VIJAYWADA,Potato,18.0
18-05-2012,VIJAYWADA,Potato,18.0
21-05-2012,VIJAYWADA,Potato,18.0
22-05-2012,VIJAYWADA,Potato,18.0
23-05-2012,VIJAYWADA,Potato,18.0
24-05-2012,VIJAYWADA,Potato,18.0
25-05-2012,VIJAYWADA,Potato,17.0
28-05-2012,VIJAYWADA,Potato,17.0
29-05-2012,VIJAYWADA,Potato,17.0
30-05-2012,VIJAYWADA,Potato,17.0
31-05-2012,VIJAYWADA,Potato,17.0
01-06-2012,VIJAYWADA,Potato,17.0
04-06-2012,VIJAYWADA,Potato,17.0
05-06-2012,VIJAYWADA,Potato,18.0
06-06-2012,VIJAYWADA,Potato,18.0
07-06-2012,VIJAYWADA,Potato,18.0
08-06-2012,VIJAYWADA,Potato,18.0
11-06-2012,VIJAYWADA,Potato,18.0
12-06-2012,VIJAYWADA,Potato,18.0
13-06-2012,VIJAYWADA,Potato,18.0
14-06-2012,VIJAYWADA,Potato,18.0
15-06-2012,VIJAYWADA,Potato,18.0
18-06-2012,VIJAYWADA,Potato,18.0
19-06-2012,VIJAYWADA,Potato,19.0
20-06-2012,VIJAYWADA,Potato,19.0
21-06-2012,VIJAYWADA,Potato,19.0
22-06-2012,VIJAYWADA,Potato,19.0
25-06-2012,VIJAYWADA,Potato,18.0
26-06-2012,VIJAYWADA,Potato,18.0
27-06-2012,VIJAYWADA,Potato,18.0
28-06-2012,VIJAYWADA,Potato,18.0
29-06-2012,VIJAYWADA,Potato,18.0
02-07-2012,VIJAYWADA,Potato,18.0
03-07-2012,VIJAYWADA,Potato,18.0
04-07-2012,VIJAYWADA,Potato,18.0
05-07-2012,VIJAYWADA,Potato,18.0
06-07-2012,VIJAYWADA,Potato,18.0
09-07-2012,VIJAYWADA,Potato,18.0
10-07-2012,VIJAYWADA,Potato,18.0
11-07-2012,VIJAYWADA,Potato,18.0
12-07-2012,VIJAYWADA,Potato,18.0
13-07-2012,VIJAYWADA,Potato,18.0
16-07-2012,VIJAYWADA,Potato,18.0
17-07-2012,VIJAYWADA,Potato,19.0
18-07-2012,VIJAYWADA,Potato,19.0
19-07-2012,VIJAYWADA,Potato,19.0
20-07-2012,VIJAYWADA,Potato,19.0
23-07-2012,VIJAYWADA,Potato,19.0
24-07-2012,VIJAYWADA,Potato,20.0
25-07-2012,VIJAYWADA,Potato,20.0
26-07-2012,VIJAYWADA,Potato,20.0
27-07-2012,VIJAYWADA,Potato,21.0
30-07-2012,VIJAYWADA,Potato,21.0
31-07-2012,VIJAYWADA,Potato,20.0
01-08-2012,VIJAYWADA,Potato,21.0
02-08-2012,VIJAYWADA,Potato,20.0
03-08-2012,VIJAYWADA,Potato,21.0
06-08-2012,VIJAYWADA,Potato,21.0
07-08-2012,VIJAYWADA,Potato,20.0
08-08-2012,VIJAYWADA,Potato,21.0
09-08-2012,VIJAYWADA,Potato,21.0
